time_s,linear_x,angular_z,marker,flag
2941.0853,0.0159,-0.0,driving,
2941.0915,0.0373,-0.0,driving,
2941.1000,0.0373,-0.0062,driving,
2941.1002,0.0699,-0.0062,driving,
2941.1064,0.0699,-0.0207,driving,
2941.1066,0.1061,-0.0207,driving,
2941.1149,0.1061,-0.0391,driving,
2941.1151,0.3228,-0.0391,driving,
2941.1213,0.3228,-0.0619,driving,
2941.1215,0.3351,-0.0619,driving,
2941.1301,0.3351,-0.088,driving,
2941.1303,0.3664,-0.088,driving,
2941.1369,0.3664,-0.1175,driving,
2941.1376,0.6003,-0.1175,driving,
2941.1456,0.6003,-0.1474,driving,
2941.1462,0.6229,-0.1474,driving,
2941.1522,0.6229,-0.1771,driving,
2941.1524,0.8551,-0.1771,driving,
2941.1599,0.8551,-0.2056,driving,
2941.1607,0.89,-0.2056,driving,
2941.1674,0.89,-0.2327,driving,
2941.1754,0.89,-0.2595,driving,
2941.1818,0.89,-0.2862,driving,
2941.1906,0.89,-0.3081,driving,
2941.1972,0.89,-0.3259,driving,
2941.2045,0.89,-0.3402,driving,
2941.2119,0.89,-0.3515,driving,
2941.2197,0.89,-0.3606,driving,
2941.2270,0.89,-0.3682,driving,
2941.2357,0.89,-0.3741,driving,
2941.2424,0.89,-0.3789,driving,
2941.2724,0.89,-0.3921,driving,
2941.2801,0.89,-0.3998,driving,
2941.2874,0.89,-0.41,driving,
2941.2951,0.89,-0.4216,driving,
2941.3025,0.89,-0.4348,driving,
2941.3100,0.89,-0.4492,driving,
2941.3176,0.89,-0.4636,driving,
2941.3251,0.89,-0.4776,driving,
2941.3316,0.89,-0.4918,driving,
2941.3405,0.89,-0.5075,driving,
2941.3467,0.89,-0.5257,driving,
2941.3556,0.89,-0.5452,driving,
2941.3623,0.89,-0.5657,driving,
2941.3699,0.89,-0.5852,driving,
2941.3771,0.89,-0.6044,driving,
2941.3849,0.89,-0.6256,driving,
2941.3925,0.89,-0.6531,driving,
2941.4002,0.89,-0.6816,driving,
2941.4067,0.89,-0.7095,driving,
2941.4153,0.89,-0.7359,driving,
2941.4219,0.89,-0.7631,driving,
2941.4305,0.89,-0.7891,driving,
2941.4369,0.89,-0.8154,driving,
2941.4457,0.89,-0.8407,driving,
2941.4523,0.89,-0.8654,driving,
2941.4597,0.89,-0.8878,driving,
2941.4675,0.89,-0.908,driving,
2941.4748,0.89,-1.0,driving,
2941.5143,0.89,-1.0,driving,
2941.5350,0.89,-1.0,driving,
2941.5571,0.8815,-1.0,driving,
2941.5648,0.8783,-1.0,driving,
2941.5721,0.8725,-1.0,driving,
2941.5798,0.8643,-1.0,driving,
2941.5870,0.8537,-1.0,driving,
2941.5945,0.8425,-1.0,driving,
2941.6022,0.8306,-1.0,driving,
2941.6101,0.8173,-1.0,driving,
2941.6174,0.8032,-1.0,driving,
2941.6249,0.7878,-1.0,driving,
2941.6327,0.7718,-1.0,driving,
2941.6404,0.7565,-1.0,driving,
2941.6467,0.7419,-1.0,driving,
2941.6554,0.7277,-1.0,driving,
2941.6621,0.7133,-1.0,driving,
2941.6695,0.6994,-1.0,driving,
2941.6774,0.685,-1.0,driving,
